"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛部添製字  002912","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE)","2028/02/09","順慶實業有限公司","2018/02/09","07-7871761","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE);;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;25.00000公斤"
"衛部添製字  002913","焦磷酸鈉(無水)","SODIUM PYROPHOSPHATE, ANHYDROUS","2028/02/09","順慶實業有限公司","2018/02/09","07-7871761","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM PYROPHOSPHATE, ANHYDROUS;;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;25.00000公斤"
"衛部添製字  002914","丙二醇","PROPYLENE GLYCOL","2028/02/09","昆峰興業股份有限公司","2018/02/09","02-22236007","液劑","載體;;",,,"PROPYLENE GLYCOL;;",,"30.00000公斤;5.00000公斤;10.00000公斤;1.00000公斤;18.00000公斤"
"衛部添製字  002915","β-胡蘿蔔素 1% WSC/PF","ALTRATENE 1% WSC/PF","2028/03/09","立弘生化科技股份有限公司","2018/03/09","02-27030209","粉劑","營養添加劑;;著色劑;;",,,"MALTODEXTRIN;;SUCROSE;;GUM ARABIC;;SUNFLOWER OIL;;WATER;;L-ASCORBIC ACID;;SODIUM ASCORBATE;;β-CAROTENE;;Silicon Dioxide (precipitated silica);;DL-α-TOCOPHEROL;;",,"1.00000公斤;10.00000公斤;5.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002916","β-衍-8’-胡蘿蔔醛 10% WSC/B","ALTRATENE APOCAROTENAL 10% WSC/B","2028/03/09","立弘生化科技股份有限公司","2018/03/09","02-27030209","粉劑","著色劑;;",,,"STARCH SODIUM OCTENYL SUCCINATE;;SUNFLOWER OIL;;β-APO-8'-CAROTENAL;;SUCROSE;;L-ASCORBIC ACID;;SODIUM ASCORBATE;;DL-α-TOCOPHEROL;;Silicon Dioxide (precipitated silica);;",,"1.00000公斤;10.00000公斤;5.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002917","三偏磷酸鈉","SODIUM TRIMETAPHOSPHATE(BRATYAX)","2028/03/23","昆峰興業股份有限公司","2018/03/23","02-22236007","結晶","品質改良用、釀造用及食品製造用劑;;",,,"SODIUM TRIMETAPHOSPHATE;;",,"12.50000公克;250.00000公克;250.00000公克;312.50000公克;312.50000公克;20.00000公克;400.00000公克;400.00000公克;30.00000公克;600.00000公克;600.00000公克;1.00000公斤;1.00000公斤;3.50000公斤;25.00000公斤;25.00000公斤;28.00000公斤"
"衛部添製字  002918","苯甲酸鈉","SODIUM BENZOATE","2028/03/23","昆峰興業股份有限公司","2018/03/23","02-22236007","顆粒劑","防腐劑;;",,,"SODIUM BENZOATE;;",,"1.00000公斤;25.00000公斤"
"衛部添製字  002919","苯甲酸鈉","SODIUM BENZOATE","2028/03/23","昆峰興業股份有限公司","2018/03/23","02-22236007","粉劑","防腐劑;;",,,"SODIUM BENZOATE;;",,"1.00000公斤;25.00000公斤"
"衛部添製字  002920","苯甲酸","BENZOIC ACID","2028/03/23","昆峰興業股份有限公司","2018/03/23","02-22236007","結晶性粉末","防腐劑;;",,,"BENZOIC ACID;;",,"1.00000公斤;25.00000公斤"
"衛部添製字  002921","蔗糖素","SUCRALOSE","2028/04/14","順慶實業有限公司","2018/04/14","07-7871761","結晶性粉末","甜味劑;;",,,"SUCRALOSE;;",,"1.00000公克;5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;1.00000公斤;1.00000公斤;10.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002922","食用黃色五號","SUNSET YELLOW FCF","2028/04/20","鑫隴興業有限公司","2018/04/20","07-7462908","粉劑","著色劑;;",,,"SUNSET YELLOW FCF;;",,"2.00000公克;2.00000公克;5.00000公克;5.00000公克;10.00000公克;30.00000公克;50.00000公克;100.00000公克;250.00000公克;500.00000公克;500.00000公克;1.00000公斤;1.00000公斤;2.00000公斤;10.00000公斤;30.00000公克;50.00000公克;100.00000公克;250.00000公克;500.00000公克;1.00000公斤;500.00000公克;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;25.00000公斤;5.00000公斤;25.00000公斤;10.00000公克;30.00000公克;50.00000公克;100.00000公克"
"衛部添製字  002923","混合濃縮生育醇","TOCOPHEROLS CONCENTRATE, MIXED (FORTIUM MT50 LIQUID)","2028/05/09","億元食品股份有限公司","2018/05/09","02-27864827","油狀物","抗氧化劑;;",,,"TOCOPHEROLS CONCENTRATE, MIXED (LOW-α-TYPE)(TOTAL TOCOPHEROLS CONTENT, SOYBEAN OIL);;",,"0.50000公斤;1.00000公斤;20.00000公斤"
"衛部添製字  002924","葉黃素 20% OS-SF","LUTENE 20% OS-SF","2028/04/28","立弘生化科技股份有限公司","2018/04/28","02-27030209","油狀物","營養添加劑;;著色劑;;",,,"SUNFLOWER OIL;;LUTEIN;;DL-α-TOCOPHEROL;;",,"1.00000公斤;10.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;180.00000公斤"
"衛部添製字  003055","玉米糖膠","Xanthan Gum","2030/05/22","大中食品工業股份有限公司","2020/05/22","02-25069131","粉劑","粘稠劑（糊料）;;",,,"Xanthan Gum;;",,"1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤"
"衛部添製字  002925","番茄紅素 6% TG","LYCOTENE 6% TG","2028/05/22","立弘生化科技股份有限公司","2018/05/22","02-27030209","粉劑","營養添加劑;;著色劑;;",,,"STARCH SODIUM OCTENYL SUCCINATE;;MALTODEXTRIN;;SUCROSE;;SUNFLOWER OIL;;Lycopene (Synthetic);;L-ASCORBIC ACID;;SODIUM L-ASCORBATE;;Silicon Dioxide (precipitated silica);;",,"1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002926","4,4’-二酮-β-胡蘿蔔素 10% WSC/S","CANTHATENE 10% WSC/S","2028/05/03","立弘生化科技股份有限公司","2018/05/03","02-27030209","粉劑","著色劑;;",,,"STARCH SODIUM OCTENYL SUCCINATE;;SUNFLOWER OIL;;CANTHAXANTHIN;;SUCROSE;;L-ASCORBIC ACID;;SODIUM L-ASCORBATE;;DL-α-TOCOPHEROL;;Silicon Dioxide (precipitated silica);;",,"1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002927","檸檬酸","CITRIC ACID (CITRIC ACID, ANHYDROUS)","2028/04/28","順慶實業有限公司","2018/04/28","07-7871761","結晶性粉末","調味劑;;",,,"CITRIC ACID (CITRIC ACID, ANHYDROUS);;",,"50.00000公克;100.00000公克;450.00000公克;500.00000公克;1.00000公斤;3.00000公斤;5.00000公斤;25.00000公斤;600.00000公克;750.00000公克;1.00000公斤;10.00000公斤;10.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002928","β-胡蘿蔔素 1% WSC/WAP","ALTRATENE 1% WSC/WAP","2028/04/28","立弘生化科技股份有限公司","2018/04/28","02-27030209","粉劑","營養添加劑;;著色劑;;",,,"GUM ARABIC;;SUNFLOWER OIL;;MALTODEXTRIN;;SUCROSE;;WATER;;β-CAROTENE;;DL-α-TOCOPHEROL;;",,"1.00000公斤;10.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002929","β-胡蘿蔔素 6% OS-SF","ALTRATENE 6% OS-SF","2028/04/28","立弘生化科技股份有限公司","2018/04/28","02-27030209","液劑","營養添加劑;;著色劑;;",,,"SUNFLOWER OIL;;β-CAROTENE;;DL-α-TOCOPHEROL;;",,"5.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;180.00000公斤;500.00000公斤;900.00000公斤"
"衛部添製字  002931","焦糖色素","CARAMEL COLORS (PLAIN CARAMEL)","2028/05/09","盛源食品原料股份有限公司","2018/05/09","02-23699828","粉劑","著色劑;;",,,"CARAMEL COLORS;;",,"1.00000公斤;20.00000公斤;22.68000公斤;25.00000公斤"
"衛部添製字  002932","甘草酸銨","AMMONIATED GLYCYRRHIZIN","2028/05/09","振源食品科技股份有限公司","2018/05/09","02-23690989","粉劑","甜味劑;;",,,"AMMONIATED GLYCYRRHIZIN;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  002933","β-胡蘿蔔素 10% GL","ALTRATENE 10% GL","2028/05/22","立弘生化科技股份有限公司","2018/05/22","02-27030209","液劑","營養添加劑;;著色劑;;",,,"GLYCEROL;;β-CAROTENE;;",,"5.00000公斤;10.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;180.00000公斤;500.00000公斤;900.00000公斤"
"衛部添製字  002934","β-胡蘿蔔素 30% OS-SF/WA","ALTRATENE 30% OS-SF/WA","2028/05/22","立弘生化科技股份有限公司","2018/05/22","02-27030209","其他;液劑","營養添加劑;;著色劑;;",,,"SUNFLOWER OIL;;β-CAROTENE;;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;50.00000公斤;180.00000公斤"
"衛部添製字  002935","二氧化矽","SILICON DIOXIDE","2028/06/08","昆峰興業股份有限公司","2018/06/08","02-22236007","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"SILICON DIOXIDE (PRECIPITATED SILICA);;",,"1.00000公斤;13.00000公斤"
"衛部添製字  002936","赤藻糖醇","ERYTHRITOL","2028/06/09","順慶實業有限公司","2018/06/09","07-7871761","結晶性粉末","品質改良用、釀造用及食品製造用劑;;甜味劑;;",,,"ERYTHRITOL;;",,"5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;25.00000公克;5.00000公克;5.00000公克;10.00000公克;10.00000公克;50.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;22.50000公斤;22.50000公斤;25.00000公斤"
"衛部添製字  002937","硬脂酸鎂","MAGNESIUM STEARATE","2028/05/29","宸品股份有限公司","2018/05/29","02-27886279","粉劑","品質改良用、釀造用及食品製造用劑;;",,,"MAGNESIUM STEARATE;;",,"1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  002938","碳酸鈣","CALCIUM CARBONATE","2028/06/17","宸品股份有限公司","2018/06/17","02-27886279","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"CALCIUM CARBONATE;;",,"1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;25.00000公斤"
"衛部添製字  002939","卡德蘭熱凝膠","CURDLAN","2028/06/17","順慶實業有限公司","2018/06/17","07-7871761","粉劑","粘稠劑（糊料）;;",,,"CURDLAN;;",,"5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤;5.00000公克;5.00000公克;10.00000公克;10.00000公克;50.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;5.00000公斤;20.00000公斤;22.50000公斤;22.50000公斤;25.00000公斤"
"衛部添製字  002940","健美鮮CN粉劑","TASTY IMPROVER CN","2028/06/27","振芳股份有限公司","2018/06/27","02-23415137","結晶性粉末","調味劑;;",,,"GLYCINE;;SODIUM CHLORIDE;;MONOSODIUM L-ASPARTATE;;DL-ALANINE;;SODIUM 5`-INOSINATE;;SODIUM 5’-GUANYLATE;;DISODIUM SUCCINATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002941","番茄紅素 10% FT/PF","LYCOTENE 10% FT/PF","2028/07/07","立弘生化科技股份有限公司","2018/07/07","02-27030209","乳液狀","營養添加劑;;著色劑;;",,,"WATER;;STARCH SODIUM OCTENYL SUCCINATE;;SYNTHETIC LYCOPENE;;SUCROSE;;SUNFLOWER OIL;;DL-α-TOCOPHEROL;;L-ASCORBIC ACID;;SODIUM L-ASCORBATE;;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;180.00000公斤;500.00000公斤"
"衛部添製字  002942","β-胡蘿蔔素 22% OS-HS/N","ALTRATENE 22% OS-HS/N","2028/07/07","立弘生化科技股份有限公司","2018/07/07","02-27030209","液劑","營養添加劑;;著色劑;;",,,"CORN OIL;;β-CAROTENE;;DL-α-TOCOPHEROL;;L-ASCORBYL PALMITATE;;CITRIC ACID (CITRIC ACID, ANHYDROUS);;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;50.00000公斤;180.00000公斤"
"衛部添製字  002945","碳酸氫鈉","SODIUM BICARBONATE","2028/07/07","永詮食品股份有限公司","2018/07/07","02-7530910","結晶性粉末","膨脹劑;;",,,"SODIUM BICARBONATE;;",,"25.00000公斤;5.00000公斤;1.00000公斤;200.00000公克;80.00000公克;20.00000公克;80.00000公克;1.00000公斤;60.00000公克"
"衛部添製字  002946","β-胡蘿蔔素 10% FT-RED/BT","ALTRATENE 10% FT-RED/BT","2028/06/27","立弘生化科技股份有限公司","2018/06/27","02-27030209","乳液狀","營養添加劑;;著色劑;;",,,"GLYCEROL;;WATER;;β-CAROTENE;;L-ASCORBYL PALMITATE;;LECITHIN;;dl-α-TOCOPHEROL;;",,"1.00000公斤;10.00000公斤;1.00000公斤;10.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;180.00000公斤"
"衛部添製字  002947","β-胡蘿蔔素 10% WSC/B","ALTRATENE 10% WSC/B","2028/06/27","立弘生化科技股份有限公司","2018/06/27","02-27030209","粉劑","營養添加劑;;著色劑;;",,,"STARCH SODIUM OCTENYL SUCCINATE;;SUNFLOWER OIL;;β-CAROTENE;;SUCROSE;;L-ASCORBIC ACID;;SODIUM L-ASCORBATE;;dl-α-TOCOPHEROL;;Silicon Dioxide (Precipitated Silica);;",,"1.00000公斤;10.00000公斤;5.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002949","甜菊醣苷","Steviol glycosides (PSB 1098)","2028/07/11","振芳股份有限公司","2018/07/11","02-23415137","粉劑","甜味劑;;",,,"Steviol glycosides from Stevia rebaudiana Bertoni;;",,"0.50000公斤;0.50000公斤;1.00000公斤;1.00000公斤;10.00000公斤;10.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;30.00000公斤;30.00000公斤"
"衛部添製字  002950","檸檬酸","CITRIC ACID (CITRIC ACID ANHYDROUS)","2028/07/07","宸品股份有限公司","2018/07/07","02-27886279","結晶性粉末","調味劑;;",,,"CITRIC ACID (CITRIC ACID, ANHYDROUS);;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003103","蔗糖素","Sucralose","2030/12/03","恒宜貿易股份有限公司","2020/12/03","04-22968609","結晶性粉末","甜味劑;;",,,"Sucralose;;",,"1.00000公斤;1.00000公斤;50.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003106","乾酪素鈣","Calcium Caseinate","2030/12/16","恒宜貿易股份有限公司","2020/12/16","04-22968609","粉劑","粘稠劑（糊料）;;營養添加劑;;",,,"Calcium Caseinate;;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002951","甜菊醣苷（來自Stevia rebaudiana Bertoni）","Steviol Glycosides from Stevia rebaudiana Bertoni","2028/07/06","順慶實業有限公司","2018/07/06","07-7871761","粉劑","甜味劑;;",,,"Steviol Glycosides from Stevia rebaudiana Bertoni;;",,"1.00000公克;5.00000公克;10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;5.00000公克;5.00000公克;10.00000公克;10.00000公克;50.00000公克;50.00000公克;100.00000公克;100.00000公克;500.00000公克;500.00000公克;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;20.00000公斤;22.50000公斤;22.50000公斤;25.00000公斤"
"衛部添製字  002953","磷酸氫二鈉 (無水)","SODIUM PHOSPHATE, DIBASIC (ANHYDROUS)","2028/08/24","順慶實業有限公司","2018/08/24","07-7871761","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM PHOSPHATE, DIBASIC (ANHYDROUS);;",,"10.00000公克;50.00000公克;100.00000公克;500.00000公克;1.00000公斤;25.00000公斤"
"衛部添製字  002954","氧化鈣","CALCIUM OXIDE","2028/09/28","仲暘企業有限公司","2018/09/28","2733-9318","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"CALCIUM OXIDE;;",,"1.00000公斤;20.00000公斤;25.00000公斤;30.00000公克;100.00000公克;500.00000公克;2.50000公克;600.00000公克;75.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;900.00000公克;1.00000公斤;1.00000公斤;20.00000公斤;25.00000公斤;3.00000公斤;9.00000公斤;10.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002955","偏磷酸鉀","POTASSIUM METAPHOSPHATE","2028/10/06","振源食品科技股份有限公司","2018/10/06","02-23690989","結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"POTASSIUM METAPHOSPHATE;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  002956","聚糊精","POLYDEXTROSE","2028/10/06","新和食品股份有限公司","2018/10/06","02-25954321","結晶性粉末","品質改良用、釀造用及食品製造用劑;;粘稠劑（糊料）;;",,,"POLYDEXTROSE;;",,"1.00000公斤"
